id,title,price,image_link,description,availability,condition,link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,style[0]
SFWT-2P-55.110,Spiralfish Wave and Tide wall sculpture,1160.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/SpiralfishwaveandTidewidewall60_111.jpg?v=1642263828,"An individually carved and cast modern wall sculpture inspired by the millions of fish that swim in spiralling shoals in the sea
This is a two-part 55cm x 55cm x 7cm each part wall sculpture in white marble stone finish suitable as contemporary artwork for interior and outdoor wall decor
Total size 55cm x 110cm x 7cm 
Available in different surface effects
Contact us for further information ",in stock,new,https://boldstone.co.uk/products/test-3,Boldstone,,,1,1160.0 GBP,,,,,,,,,,30.0 kg,
BS-2P-55.85,Bone Spiral wall sculpture,1100.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/BoneSpiralfromabovewall60.jpg?v=1641312115,"An individually carved and cast modern wall sculpture inspired by the idea that beneath the surface of things in nature there is bone structure and the spiral form
This is a two-part 55cm x 55cm x 7cm and 55xm x 30cm x 7cm wall sculpture in white marble stone finish suitable as contemporary artwork for interior and outdoor wall decor
Available in different surface effects
Contact us for further information",in stock,new,https://boldstone.co.uk/products/test-4,Boldstone,,,1,1100.0 GBP,,,,,,,,,,27.0 kg,
MOSW-2P-100.44,Moon and Shellwave wall sculpture,880.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/Shellwav.jpg?v=1642175464,"An individually carved and cast modern wall sculpture inspired by the Moon and shell-like shapes that waves make as they curl into spirals
A very elegant two-part sculpture of 100cm x 22cm x 6cm each part in white marble stone finish suitable as a contemporary artwork for interior and outdoor wall decor
Available in different surface effects
Contact us for further information",in stock,new,https://boldstone.co.uk/products/test-5,Boldstone,,,1,880.0 GBP,,,,,,,,,,20.0 kg,
SWBTCM-3P-100.66,Shellwave Between Two Concave Moons wall sculpture,1320.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/ConcaveMoonShellwaveandMoon60_1.jpg?v=1641323344,"Individually carved and cast wall sculptures inspired by the Moon and the shell-like shapes of a curling wave
This is a very elegant three-part sculpture of 100cm x 22cm x 6cm each part in white marble stone finish suitable as a contemporary artwork for interior and outdoor wall decor
Available in different surface effects
Contact us for further information ",in stock,new,https://boldstone.co.uk/products/copy-of-moon-and-shellwave,Boldstone,,,1,1320.0 GBP,,,,,,,,,,36.0 kg,
MP-3P-30.90,Moonphases Three wall sculpture,540.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/MoonphasesTriptych_2_111_2.jpg?v=1642177798,"Individually carved and cast wall sculptures inspired by the phases of the Moon
This is a classic three-part sculpture of 30cm x 30cm x 6cm each part in white marble stone finish suitable as a contemporary artwork for interior and outdoor wall decor
Available in different surface effects
Contact us for further information ",in stock,new,https://boldstone.co.uk/products/copy-of-shellwave-between-two-concave-moons,Boldstone,,,1,540.0 GBP,,,,,,,,,,18.0 kg,
MP-5P-30.150,Moonphases Five wall sculpture,900.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/MoonphasesQuintet.jpg?v=1642176414,"Individually carved and cast wall sculptures inspired by the phases of the Moon
This is a beautiful timeless work of art consisting of five-parts of wall sculpture each part of 30cm x 30cm x 6cm with a total of 150cm x 30cm
Each part in white marble stone finish is suitable as a contemporary artwork for interior and outdoor wall decor
Available in different surface effects
Contact us for further information",in stock,new,https://boldstone.co.uk/products/copy-of-moonphases-three,Boldstone,,,1,900.0 GBP,,,,,,,,,,30.0 kg,
BM-2P-50.25,Brancusi Meander wall sculpture,500.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/DSC_2305_2_1_2.jpg?v=1642096595,"An individually carved and cast two-part wall sculpture inspired by the shapes and forms the twentieth century Modernist Romanian sculptor Constantin Brancusi used in his wooden totem-pole carvings 
The sculptures are 50cm x 25cm x 8cm each part in white marble stone finish suitable as contemporary artwork for interior and outdoor wall decor
Available in different surface effects
Contact us for further information",in stock,new,https://boldstone.co.uk/products/copy-of-ammonite,Boldstone,,,1,500.0 GBP,,,,,,,,,,15.0 kg,
DSTP-3P-45.120,Deco Spiral with Two Palms wall sculpture,900.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/DSC_1184_2_3_22.jpg?v=1642164618,"Individually carved and cast wall sculptures inspired by the art Deco style interpretation of the curve of the Palm frond
An unusual piece consisting of three-parts of wall sculpture of 40cm x 45cm x 6cm each part, in white marble stone finish, is suitable as a contemporary artwork for interior and outdoor wall decor
Available in different surface effects
Contact us for further information",in stock,new,https://boldstone.co.uk/products/copy-of-moonphases-five,Boldstone,,,1,900.0 GBP,,,,,,,,,,24.0 kg,
FSR-1-100.50,Fossil Sand Ripple wall sculpture,800.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/DSC_3145_2_1_22.jpg?v=1642168440,"An individually carved and cast wall sculpture inspired by sand ripples formed by wind and sea 
Fossil Sand Ripple has a beautiful sand texture and can be coupled with Smooth Sand Ripple or be placed on its own in a living room or on an outside patio wall enhanced by artificial light at night and lit by transient light during the day
The wall sculpture is 100cm x 50cm x 6cm, is in white marble stone finish and suitable as a beautiful artwork for interior and outdoor wall decor
Available in different surface effects
Contact us for further information",in stock,new,https://boldstone.co.uk/products/copy-of-smooth-sand-ripple,Boldstone,,,1,800.0 GBP,,,,,,,,,,18.0 kg,
CF-1-70.50,Cultivation Folds wall sculpture,600.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/FoldUnfoldTwo1_2.jpg?v=1641248800,"Elegant individually carved and cast wall sculpture of folded shapes forming curved lines resembling terrace cultivation
Beautiful texture of light and shadow enhanced by white marble stone finish
This sculpture is 70cm x 50cm x 6cm and is suitable for placement on an interior or a garden wall
Available in different surface effects
Contact us for further information",in stock,new,https://boldstone.co.uk/products/copy-of-swan-wing-folds,Boldstone,,,1,600.0 GBP,,,,,,,,,,18.0 kg,
